feature,activity,frequency,mean_activation,specificity,coherence,genericity,entity_ratio,diversity,keywords,activity_n,specificity_n,coherence_n,entity_ratio_n,diversity_n,genericity_n,freq_peak,freq_peak_n,brain_surgery_score,rank
1286,0.00125353051678588,0.021858333333333334,0.057347945868968964,0.9781416666666667,0.01859266902997736,0.3034825870646766,0.18509615384615385,1.0,"squadron, john, eaton, darwin, northern",0.001810416950537199,0.9755036891053309,0.11908629969316556,0.46410584587045284,0.0,0.17491889146136652,0.7082598557202221,0.7083141409583289,0.4513445075405776,34
1251,0.0014615643044312795,0.03986666666666667,0.036661311984062195,0.9601333333333333,0.038546614796747036,0.31473214285714285,0.13636363636363635,1.0,"game, games, points, jordan, against",0.002178623861833354,0.9403065296349984,0.2698277205290216,0.30278032080247697,0.0,0.22742084898928766,0.8484403005816143,0.8485053305586482,0.4509045528853846,35
488,0.00300279501453042,0.0281,0.10686103254556656,0.9719,0.025129074184764955,0.3081155433287483,0.16680851063829788,1.0,"john, church, united, command, developed",0.004906506701363696,0.9633043959802596,0.1684653554302207,0.40356590672568043,0.0,0.19654101392489556,0.759679866095459,0.7597380926435513,0.4498625472610996,36
892,0.00033305327255899706,0.013608333333333333,0.024474214762449265,0.9863916666666667,0.06022320615856658,0.32515337423312884,0.16597853014037986,1.0,"fey, school, comedy, following, received",0.00018122927457713851,0.9916282554522209,0.43358281032186624,0.40081831545521424,0.0,0.27605699580115284,0.6377678333293031,0.6378167154002437,0.4481353911206516,37
1977,0.00395457919780165,0.076125,0.05194849520921707,0.923875,0.007032623147789296,0.31946144430844553,0.16856677524429967,1.0,"first, war, music, jordan, cop",0.006591105719193399,0.8694398749124551,0.03175631686286646,0.40938651636017004,0.0,0.24949261684516272,0.9984689665966431,0.9985454961722798,0.44687715730812794,38
177,0.0002882472309283912,0.017625,0.016354452818632126,0.982375,0.009520208434276034,0.3027624309392265,0.20292083013066872,1.0,"world, year, ceremony, heritage, held",0.00010192535773295004,0.9837777090085835,0.05054869732326931,0.5231131660196253,0.0,0.1715579048580399,0.6723312385394759,0.6723827698726996,0.4457245761464578,39
1674,0.00024653556556440893,0.018675,0.013201368972659111,0.981325,0.02795289113417676,0.30097087378640774,0.15993665874901028,1.0,"there, court, got, way, appeals",2.8098295107575747e-05,0.9817254914735248,0.1897977868254985,0.38081713092877256,0.0,0.16319666293156976,0.6813013402702955,0.6813535591559189,0.44273692564346045,40
781,0.0005962174801776806,0.022816666666666666,0.026130788028240204,0.9771833333333333,0.01587806072250042,0.30689655172413793,0.183399209486166,1.0,"series, comedy, producer, songwriter, band",0.0006470136125335425,0.9736306334185709,0.09857888135772233,0.45848823253897675,0.0,0.190851949695799,0.716292486303395,0.7163473872373544,0.44154672958957186,41
968,0.000363344696816057,0.02125,0.017098573967814445,0.97875,0.01889247206314526,0.31535756154747946,0.1977582065652522,1.0,"war, croatia, world, city, united",0.00023484321820953056,0.9766926722804047,0.12135115175394896,0.5060226687409262,0.0,0.23033969361950948,0.7031393006443171,0.7031931933952442,0.44136429053954784,42
348,0.0023281496930867432,0.02275,0.10233625024557114,0.97725,0.012228979565064302,0.2941952506596306,0.1632996632996633,1.0,"john, united, general, trinsey, aviation",0.003712426293364782,0.9737609329446064,0.07101201890120878,0.3919501177508616,0.0,0.13157466076633872,0.7157350996305779,0.7157899578412154,0.44095220588697315,43
1438,0.00026652886397205295,0.016975,0.015701258555054665,0.983025,0.04322833520819602,0.3198482932996207,0.1704946996466431,1.0,"ciudad, rez, treaty, peace, mexico",6.348519420999056e-05,0.9850481293874295,0.3051956219469625,0.41576877265569173,0.0,0.25129805073776146,0.6667624173829753,0.666813521869719,0.44075905169827756,44
1999,0.00029156504611795145,0.020633333333333333,0.014130777679383755,0.9793666666666667,0.011935396718447122,0.3120567375886525,0.20287539936102236,1.0,"art, police, national, air, information",0.00010779768499779693,0.9778979428962329,0.06879415703321629,0.522962770695393,0.0,0.21493466585747675,0.6979325832822892,0.6979860769417541,0.43938083815055906,45
1381,0.004700642903894186,0.07913333333333333,0.05940155312418938,0.9208666666666667,0.013941950301918804,0.32722832722832723,0.1562753036437247,1.0,"museum, building, blackie, arkansas, little",0.007911592241886242,0.8635601088001044,0.08395259946316012,0.3686964758644736,0.0,0.2857408531939305,0.9999233589461459,1.0,0.4340408396734615,46
499,0.0012698383312672375,0.0411,0.03089630976319313,0.9589,0.024428325601391188,0.29888888888888887,0.10747663551401869,1.0,"airspace, aircraft, townsend, air, gods",0.0018392807714969295,0.9378959884033422,0.16317157352156236,0.20715196379474685,0.0,0.15347998747523642,0.8569213110540251,0.8569869910949351,0.4330820397225178,47
667,0.0021969592268268265,0.024358333333333333,0.09019333124160767,0.9756416666666666,0.01919824318701724,0.31375,0.17355371900826447,1.0,"john, gold, church, billy, scott",0.0034802272985774343,0.9706174568790006,0.12366108955781924,0.42589543818007614,0.0,0.22283716377332574,0.7291193344869387,0.7291752185903774,0.4306744343488866,48
693,0.0045644053981329005,0.07245833333333333,0.06299351900815964,0.9275416666666667,0.016442395020746736,0.3130128956623681,0.11574074074074074,1.0,"townsend, caves, hand, hindu, young",0.007670460299970343,0.8766063488444062,0.10284212607825897,0.2345096950138701,0.0,0.21939707944093717,0.9942130606315002,0.994289263994743,0.4286015950223494,49
328,0.01587065702676773,0.0884,0.17953231930732727,0.9116,0.012161349263368537,0.325748502994012,0.14403973509933773,1.0,"gold, metal, shiva, trujillo, time",0.02768182498084994,0.8454484746811733,0.07050110803233417,0.3281914984510543,0.0,0.27883447657496757,0.9928258579038134,0.9929019549388793,0.4241757605832013,50
470,0.0027917229473590852,0.025575,0.10915827751159668,0.974425,0.013448673240366915,0.31904161412358134,0.18272425249169436,1.0,"john, edmund, andrew, church, croydon",0.004532922223603165,0.9682394905288533,0.08022615427817327,0.4562538355253092,0.0,0.24753325889883027,0.7391509436253908,0.739207596645074,0.4232817230564914,51
1307,0.0003492271245922893,0.018625,0.018750449642539024,0.981375,0.007953867558695538,0.3187066974595843,0.20694980694980694,1.0,"game, nhl, royal, against, national",0.0002098559903060788,0.9818232161180515,0.038715827180287724,0.5364508065605096,0.0,0.24597019447273608,0.6808749652008497,0.6809271514051043,0.42242568688270543,52
669,0.0003307530495027701,0.02033333333333333,0.01626654341816902,0.9796666666666667,0.016698901026958257,0.31422018348623854,0.1780392156862745,1.0,"relationship, album, def, townsend, rubin",0.00017715802232330172,0.9784842907633924,0.10477989218633611,0.44074435516923494,0.0,0.2250315218333443,0.6953940303069158,0.6954473293879643,0.42199287249427203,53
1198,0.0033833614508310956,0.05706666666666667,0.05928787589073181,0.9429333333333333,0.018949502592704004,0.34497816593886466,0.17337461300309598,1.0,"dominican, republic, record, united, school",0.005580085708116715,0.9066892519178461,0.12178198699612061,0.42530252051812695,0.0,0.3685797932640954,0.9477475400273555,0.9478201818389962,0.42164602144207586,54
1092,0.012208967754244805,0.0961,0.1270444095134735,0.9039,0.019833859045232494,0.3307262569832402,0.14634146341463414,1.0,"deities, egyptians, gods, egyptian, world",0.02120086190065989,0.8303988794240762,0.12846282845663556,0.33581120595256453,0.0,0.3020657786235266,0.9738967374550571,0.973971383585487,0.41985522501261896,55
1423,0.0003300248764610539,0.016691666666666667,0.019771834835410118,0.9833083333333333,0.008392721460205865,0.3213038416763679,0.21068938807126258,1.0,"war, building, dominican, world, first",0.00017586920116778606,0.9856019023730802,0.04203113440955735,0.5488304232747405,0.0,0.25809113132384043,0.6643315135670187,0.6643824317265833,0.4185506859038647,56
