category,feature,is_target,alpha,condition,split,mean_delta,ci_lo,ci_hi
safety,12257,0,1.5,wrong_layer,holdout,0.012544413097202778,-0.010833667521364986,0.03747906191274523
safety,12257,0,1.5,wrong_hook,train,0.0,0.0,0.0
safety,12257,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
safety,6942,0,0.0,target,train,0.005051950458437204,-0.01773185869678855,0.029101965948939323
safety,6942,0,0.0,target,holdout,0.04602058604359627,0.012426371686160564,0.080314083956182
safety,6942,0,0.0,wrong_layer,train,0.011728465557098389,0.0016498565673828125,0.025489263143390412
safety,6942,0,0.0,wrong_layer,holdout,0.020355403423309326,0.002635229128645733,0.03854516595602035
safety,6942,0,0.0,wrong_hook,train,0.0,0.0,0.0
safety,6942,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
safety,6942,0,1.5,target,train,0.029624799266457558,0.0010719189667725006,0.06496988087892532
safety,6942,0,1.5,target,holdout,0.01990886591374874,-0.008726584119722247,0.049936037044972174
safety,6942,0,1.5,wrong_layer,train,0.00026710829115472734,-0.009961970942094922,0.010086474823765451
safety,6942,0,1.5,wrong_layer,holdout,2.380212208663579e-05,-0.019659573445096612,0.02136170617304742
safety,6942,0,1.5,wrong_hook,train,0.0,0.0,0.0
safety,6942,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
safety,7967,0,0.0,target,train,0.009232193231582642,-0.0076077369390986855,0.028362040361389514
safety,7967,0,0.0,target,holdout,0.01311399508267641,-0.012812580168247222,0.04157004626467824
safety,7967,0,0.0,wrong_layer,train,0.008424818515777588,-0.013939573662355542,0.03276834171265362
safety,7967,0,0.0,wrong_layer,holdout,0.02100328542292118,-0.006650253781117499,0.050087038427591324
safety,7967,0,0.0,wrong_hook,train,0.0,0.0,0.0
safety,7967,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
safety,7967,0,1.5,target,train,0.0031864542979747057,-0.019169454649090766,0.026701876521110533
safety,7967,0,1.5,target,holdout,0.00770433759316802,-0.013667256338521838,0.028921295702457425
safety,7967,0,1.5,wrong_layer,train,0.015147875063121319,-0.020039610937237738,0.051811024080961936
safety,7967,0,1.5,wrong_layer,holdout,0.02355714701116085,-0.002176048932597041,0.05117327291518449
safety,7967,0,1.5,wrong_hook,train,0.0,0.0,0.0
safety,7967,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
safety,6247,0,0.0,target,train,0.031117727980017662,0.004569694050587714,0.05873392950743436
safety,6247,0,0.0,target,holdout,0.016778787598013878,-0.010354446666315197,0.04366986649110912
safety,6247,0,0.0,wrong_layer,train,-0.006401807069778442,-0.018687834963202477,0.0022418100852519274
safety,6247,0,0.0,wrong_layer,holdout,0.00528709078207612,-0.0001569986343383789,0.013264894485473633
safety,6247,0,0.0,wrong_hook,train,0.0,0.0,0.0
safety,6247,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
safety,6247,0,1.5,target,train,-0.0022616188507527113,-0.015108582680113614,0.009990047104656691
safety,6247,0,1.5,target,holdout,0.03437836840748787,0.01038227577228099,0.060069533996284
safety,6247,0,1.5,wrong_layer,train,-0.0011186599731445312,-0.006422281265258789,0.003148277522996068
safety,6247,0,1.5,wrong_layer,holdout,0.0021649599075317383,-6.604194641113281e-05,0.005308628082275391
safety,6247,0,1.5,wrong_hook,train,0.0,0.0,0.0
safety,6247,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,4223,1,0.0,target,train,-0.01257296372205019,-0.032109954953193666,0.0013197491178289049
uncertainty,4223,1,0.0,target,holdout,0.0078069367446005344,-0.02941947737708688,0.051917060185223816
uncertainty,4223,1,0.0,wrong_layer,train,0.0,0.0,0.0
uncertainty,4223,1,0.0,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,4223,1,0.0,wrong_hook,train,0.0,0.0,0.0
uncertainty,4223,1,0.0,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,4223,1,1.5,target,train,-0.00628527021035552,-0.018917583022266628,0.004811406135559082
uncertainty,4223,1,1.5,target,holdout,0.006461302284151316,-0.0020025819540023804,0.017719704518094657
uncertainty,4223,1,1.5,wrong_layer,train,0.0,0.0,0.0
uncertainty,4223,1,1.5,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,4223,1,1.5,wrong_hook,train,0.0,0.0,0.0
uncertainty,4223,1,1.5,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,4750,0,0.0,target,train,-0.006162683013826609,-0.02114989310503006,0.00975984465330838
uncertainty,4750,0,0.0,target,holdout,-0.003184298751875758,-0.03390353340655565,0.019337813183665276
uncertainty,4750,0,0.0,wrong_layer,train,0.0,0.0,0.0
uncertainty,4750,0,0.0,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,4750,0,0.0,wrong_hook,train,0.0,0.0,0.0
uncertainty,4750,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,4750,0,1.5,target,train,-0.003245453117415309,-0.021737146377563476,0.015372969023883342
uncertainty,4750,0,1.5,target,holdout,-0.0020069878082722425,-0.01919012009166181,0.014235530304722485
uncertainty,4750,0,1.5,wrong_layer,train,0.0,0.0,0.0
uncertainty,4750,0,1.5,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,4750,0,1.5,wrong_hook,train,0.0,0.0,0.0
uncertainty,4750,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,7361,0,0.0,target,train,-0.010455568321049213,-0.026390672335401176,0.0008922219465603115
uncertainty,7361,0,0.0,target,holdout,-0.00013256072998046875,-0.013050179975107311,0.014934156346134842
uncertainty,7361,0,0.0,wrong_layer,train,0.0,0.0,0.0
uncertainty,7361,0,0.0,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,7361,0,0.0,wrong_hook,train,0.0,0.0,0.0
uncertainty,7361,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,7361,0,1.5,target,train,-0.009818673133850098,-0.02448949418030679,0.00045868853703723235
uncertainty,7361,0,1.5,target,holdout,0.009089906699955463,-0.0025956303637940437,0.022786449408158656
uncertainty,7361,0,1.5,wrong_layer,train,0.0,0.0,0.0
uncertainty,7361,0,1.5,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,7361,0,1.5,wrong_hook,train,0.0,0.0,0.0
uncertainty,7361,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,2273,0,0.0,target,train,-0.00017690658569335938,-0.023073059692978858,0.02308281101286411
uncertainty,2273,0,0.0,target,holdout,0.0034398038405925035,-0.0076701735495589675,0.015511600486934184
uncertainty,2273,0,0.0,wrong_layer,train,-0.0011981924762949347,-0.035103258490562436,0.033064963202923535
uncertainty,2273,0,0.0,wrong_layer,holdout,0.0012370148906484246,-0.03413220569491386,0.034061697311699383
uncertainty,2273,0,0.0,wrong_hook,train,0.0,0.0,0.0
uncertainty,2273,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,2273,0,1.5,target,train,0.004213809967041016,-0.016742815170437096,0.025189495459198945
uncertainty,2273,0,1.5,target,holdout,0.000755012035369873,-0.02483846335671842,0.02409403831698
uncertainty,2273,0,1.5,wrong_layer,train,0.00973522663116455,-0.02337612002156675,0.04454156132414937
uncertainty,2273,0,1.5,wrong_layer,holdout,0.008664488792419434,-0.022527192533016206,0.041066755633801216
uncertainty,2273,0,1.5,wrong_hook,train,0.0,0.0,0.0
uncertainty,2273,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,16225,0,0.0,target,train,0.0030120015144348145,-0.023758437344804408,0.028512547537684438
uncertainty,16225,0,0.0,target,holdout,-0.005484302993863821,-0.027215182408690454,0.017946871230378747
uncertainty,16225,0,0.0,wrong_layer,train,0.0,0.0,0.0
uncertainty,16225,0,0.0,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,16225,0,0.0,wrong_hook,train,0.0,0.0,0.0
uncertainty,16225,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
uncertainty,16225,0,1.5,target,train,0.008801857940852642,-0.015017103450372816,0.03375022429972886
uncertainty,16225,0,1.5,target,holdout,-0.0034326117020100355,-0.021746383514255285,0.014179875957779585
uncertainty,16225,0,1.5,wrong_layer,train,0.0,0.0,0.0
uncertainty,16225,0,1.5,wrong_layer,holdout,0.0,0.0,0.0
uncertainty,16225,0,1.5,wrong_hook,train,0.0,0.0,0.0
uncertainty,16225,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
