category,pair_id,feature,is_target,alpha,delta_contrast
code,p80,6631,1,0.5,-0.125
code,p81,6631,1,0.5,0.03125
code,p82,6631,1,0.5,0.0
code,p83,6631,1,0.5,-0.375
code,p84,6631,1,0.5,-0.6875
code,p85,6631,1,0.5,-0.53125
code,p86,6631,1,0.5,-0.2421875
code,p87,6631,1,0.5,0.0625
code,p88,6631,1,0.5,0.03125
code,p89,6631,1,0.5,-0.03125
code,p90,6631,1,0.5,-0.28125
code,p91,6631,1,0.5,-0.3125
code,p92,6631,1,0.5,0.09375
code,p93,6631,1,0.5,0.015625
code,p94,6631,1,0.5,0.3125
code,p95,6631,1,0.5,-0.15625
code,p96,6631,1,0.5,0.0625
code,p97,6631,1,0.5,0.0
code,p98,6631,1,0.5,-0.15625
code,p99,6631,1,0.5,0.3125
code,p100,6631,1,0.5,0.0
code,p101,6631,1,0.5,-0.34375
code,p102,6631,1,0.5,0.125
code,p103,6631,1,0.5,-0.0625
code,p104,6631,1,0.5,-0.359375
code,p105,6631,1,0.5,0.1875
code,p106,6631,1,0.5,-0.28125
code,p107,6631,1,0.5,-0.40625
code,p108,6631,1,0.5,-0.21875
code,p109,6631,1,0.5,-0.09375
code,p110,6631,1,0.5,-0.15625
code,p111,6631,1,0.5,-0.40625
code,p112,6631,1,0.5,0.0625
code,p113,6631,1,0.5,-0.375
code,p114,6631,1,0.5,-0.0546875
code,p115,6631,1,0.5,-0.5
code,p116,6631,1,0.5,0.3125
code,p117,6631,1,0.5,-0.4375
code,p118,6631,1,0.5,-0.09375
code,p119,6631,1,0.5,-0.03125
code,p120,6631,1,0.5,0.25
code,p121,6631,1,0.5,0.03125
code,p122,6631,1,0.5,0.125
code,p123,6631,1,0.5,-0.03125
code,p124,6631,1,0.5,-0.125
code,p125,6631,1,0.5,-0.15625
code,p126,6631,1,0.5,0.09375
code,p127,6631,1,0.5,-0.21875
code,p128,6631,1,0.5,0.0
code,p129,6631,1,0.5,-0.046875
code,p130,6631,1,0.5,0.3125
code,p131,6631,1,0.5,-0.1875
code,p132,6631,1,0.5,0.125
code,p133,6631,1,0.5,0.125
code,p134,6631,1,0.5,0.046875
code,p135,6631,1,0.5,-0.09375
code,p136,6631,1,0.5,-0.4375
code,p137,6631,1,0.5,-0.15625
code,p138,6631,1,0.5,-0.28125
code,p139,6631,1,0.5,0.265625
code,p140,6631,1,0.5,-0.125
code,p141,6631,1,0.5,-0.0625
code,p142,6631,1,0.5,-0.625
code,p143,6631,1,0.5,-0.3125
code,p144,6631,1,0.5,-0.078125
code,p145,6631,1,0.5,-0.1875
code,p146,6631,1,0.5,0.0625
code,p147,6631,1,0.5,-0.34375
code,p148,6631,1,0.5,0.1875
code,p149,6631,1,0.5,-0.109375
code,p150,6631,1,0.5,-0.28125
code,p151,6631,1,0.5,0.15625
code,p152,6631,1,0.5,-0.125
code,p153,6631,1,0.5,-0.375
code,p154,6631,1,0.5,0.140625
code,p155,6631,1,0.5,-0.0625
code,p156,6631,1,0.5,0.28125
code,p157,6631,1,0.5,-0.3125
code,p158,6631,1,0.5,-0.09375
code,p159,6631,1,0.5,0.328125
code,p160,6631,1,0.5,-0.125
code,p161,6631,1,0.5,0.15625
code,p162,6631,1,0.5,-0.1875
code,p163,6631,1,0.5,-0.0625
code,p164,6631,1,0.5,0.0625
code,p165,6631,1,0.5,-0.1875
code,p166,6631,1,0.5,-0.125
code,p167,6631,1,0.5,0.0625
code,p168,6631,1,0.5,-0.15625
code,p169,6631,1,0.5,0.125
code,p170,6631,1,0.5,-0.4375
code,p171,6631,1,0.5,0.234375
code,p172,6631,1,0.5,0.671875
code,p173,6631,1,0.5,-0.09375
code,p174,6631,1,0.5,-0.125
code,p175,6631,1,0.5,0.546875
code,p176,6631,1,0.5,0.265625
code,p177,6631,1,0.5,0.328125
code,p178,6631,1,0.5,0.203125
code,p179,6631,1,0.5,-0.25
code,p180,6631,1,0.5,0.046875
code,p181,6631,1,0.5,-0.09375
code,p182,6631,1,0.5,0.4375
code,p183,6631,1,0.5,0.125
code,p184,6631,1,0.5,0.21875
code,p185,6631,1,0.5,0.40625
code,p186,6631,1,0.5,0.25
code,p187,6631,1,0.5,0.203125
code,p188,6631,1,0.5,-0.25
code,p189,6631,1,0.5,0.21875
code,p190,6631,1,0.5,0.0
code,p191,6631,1,0.5,0.28125
code,p192,6631,1,0.5,0.125
code,p193,6631,1,0.5,0.375
code,p194,6631,1,0.5,-0.046875
code,p195,6631,1,0.5,-0.09375
code,p196,6631,1,0.5,0.0
code,p197,6631,1,0.5,-0.1875
code,p198,6631,1,0.5,-0.09375
code,p199,6631,1,0.5,0.0703125
code,p200,6631,1,0.5,0.0625
code,p1,6631,1,1.0,0.0
code,p2,6631,1,1.0,0.0
code,p3,6631,1,1.0,0.0
code,p4,6631,1,1.0,0.0
code,p5,6631,1,1.0,0.0
code,p6,6631,1,1.0,0.0
code,p7,6631,1,1.0,0.0
code,p8,6631,1,1.0,0.0
code,p9,6631,1,1.0,0.0
code,p10,6631,1,1.0,0.0
code,p11,6631,1,1.0,0.0
code,p12,6631,1,1.0,0.0
code,p13,6631,1,1.0,0.0
code,p14,6631,1,1.0,0.0
code,p15,6631,1,1.0,0.0
code,p16,6631,1,1.0,0.0
code,p17,6631,1,1.0,0.0
code,p18,6631,1,1.0,0.0
code,p19,6631,1,1.0,0.0
code,p20,6631,1,1.0,0.0
code,p21,6631,1,1.0,0.0
code,p22,6631,1,1.0,0.0
code,p23,6631,1,1.0,0.0
code,p24,6631,1,1.0,0.0
code,p25,6631,1,1.0,0.0
code,p26,6631,1,1.0,0.0
code,p27,6631,1,1.0,0.0
code,p28,6631,1,1.0,0.0
code,p29,6631,1,1.0,0.0
code,p30,6631,1,1.0,0.0
code,p31,6631,1,1.0,0.0
code,p32,6631,1,1.0,0.0
code,p33,6631,1,1.0,0.0
code,p34,6631,1,1.0,0.0
code,p35,6631,1,1.0,0.0
code,p36,6631,1,1.0,0.0
code,p37,6631,1,1.0,0.0
code,p38,6631,1,1.0,0.0
code,p39,6631,1,1.0,0.0
code,p40,6631,1,1.0,0.0
code,p41,6631,1,1.0,0.0
code,p42,6631,1,1.0,0.0
code,p43,6631,1,1.0,0.0
code,p44,6631,1,1.0,0.0
code,p45,6631,1,1.0,0.0
code,p46,6631,1,1.0,0.0
code,p47,6631,1,1.0,0.0
code,p48,6631,1,1.0,0.0
code,p49,6631,1,1.0,0.0
code,p50,6631,1,1.0,0.0
code,p51,6631,1,1.0,0.0
code,p52,6631,1,1.0,0.0
code,p53,6631,1,1.0,0.0
code,p54,6631,1,1.0,0.0
code,p55,6631,1,1.0,0.0
code,p56,6631,1,1.0,0.0
code,p57,6631,1,1.0,0.0
code,p58,6631,1,1.0,0.0
code,p59,6631,1,1.0,0.0
code,p60,6631,1,1.0,0.0
code,p61,6631,1,1.0,0.0
code,p62,6631,1,1.0,0.0
code,p63,6631,1,1.0,0.0
code,p64,6631,1,1.0,0.0
code,p65,6631,1,1.0,0.0
code,p66,6631,1,1.0,0.0
code,p67,6631,1,1.0,0.0
code,p68,6631,1,1.0,0.0
code,p69,6631,1,1.0,0.0
code,p70,6631,1,1.0,0.0
code,p71,6631,1,1.0,0.0
code,p72,6631,1,1.0,0.0
code,p73,6631,1,1.0,0.0
code,p74,6631,1,1.0,0.0
code,p75,6631,1,1.0,0.0
code,p76,6631,1,1.0,0.0
code,p77,6631,1,1.0,0.0
code,p78,6631,1,1.0,0.0
code,p79,6631,1,1.0,0.0
code,p80,6631,1,1.0,0.0
code,p81,6631,1,1.0,0.0
code,p82,6631,1,1.0,0.0
code,p83,6631,1,1.0,0.0
code,p84,6631,1,1.0,0.0
code,p85,6631,1,1.0,0.0
code,p86,6631,1,1.0,0.0
code,p87,6631,1,1.0,0.0
code,p88,6631,1,1.0,0.0
code,p89,6631,1,1.0,0.0
code,p90,6631,1,1.0,0.0
code,p91,6631,1,1.0,0.0
code,p92,6631,1,1.0,0.0
code,p93,6631,1,1.0,0.0
code,p94,6631,1,1.0,0.0
code,p95,6631,1,1.0,0.0
code,p96,6631,1,1.0,0.0
code,p97,6631,1,1.0,0.0
code,p98,6631,1,1.0,0.0
code,p99,6631,1,1.0,0.0
code,p100,6631,1,1.0,0.0
code,p101,6631,1,1.0,0.0
code,p102,6631,1,1.0,0.0
code,p103,6631,1,1.0,0.0
code,p104,6631,1,1.0,0.0
code,p105,6631,1,1.0,0.0
code,p106,6631,1,1.0,0.0
code,p107,6631,1,1.0,0.0
code,p108,6631,1,1.0,0.0
code,p109,6631,1,1.0,0.0
code,p110,6631,1,1.0,0.0
code,p111,6631,1,1.0,0.0
code,p112,6631,1,1.0,0.0
code,p113,6631,1,1.0,0.0
code,p114,6631,1,1.0,0.0
code,p115,6631,1,1.0,0.0
code,p116,6631,1,1.0,0.0
code,p117,6631,1,1.0,0.0
code,p118,6631,1,1.0,0.0
code,p119,6631,1,1.0,0.0
code,p120,6631,1,1.0,0.0
code,p121,6631,1,1.0,0.0
code,p122,6631,1,1.0,0.0
code,p123,6631,1,1.0,0.0
code,p124,6631,1,1.0,0.0
code,p125,6631,1,1.0,0.0
code,p126,6631,1,1.0,0.0
code,p127,6631,1,1.0,0.0
code,p128,6631,1,1.0,0.0
code,p129,6631,1,1.0,0.0
code,p130,6631,1,1.0,0.0
code,p131,6631,1,1.0,0.0
code,p132,6631,1,1.0,0.0
code,p133,6631,1,1.0,0.0
code,p134,6631,1,1.0,0.0
code,p135,6631,1,1.0,0.0
code,p136,6631,1,1.0,0.0
code,p137,6631,1,1.0,0.0
code,p138,6631,1,1.0,0.0
code,p139,6631,1,1.0,0.0
code,p140,6631,1,1.0,0.0
code,p141,6631,1,1.0,0.0
code,p142,6631,1,1.0,0.0
code,p143,6631,1,1.0,0.0
code,p144,6631,1,1.0,0.0
code,p145,6631,1,1.0,0.0
code,p146,6631,1,1.0,0.0
code,p147,6631,1,1.0,0.0
code,p148,6631,1,1.0,0.0
code,p149,6631,1,1.0,0.0
code,p150,6631,1,1.0,0.0
code,p151,6631,1,1.0,0.0
code,p152,6631,1,1.0,0.0
code,p153,6631,1,1.0,0.0
code,p154,6631,1,1.0,0.0
