seed,feature,group,condition,alpha,mean_delta
57,6631,target,wrong_hook,1.0,0.0
57,743,control,target,1.0,0.0
57,1692,control,target,1.0,0.0
57,3518,control,target,1.0,0.0
57,5052,control,target,1.0,0.0
57,6631,target,target,1.5,0.028769060969352722
57,6631,target,wrong_layer,1.5,-0.003967513795942068
57,6631,target,wrong_hook,1.5,0.0
57,743,control,target,1.5,-0.14771409332752228
57,1692,control,target,1.5,0.007076139096170664
57,3518,control,target,1.5,-0.05574337765574455
57,5052,control,target,1.5,0.03150646761059761
57,6631,target,target,2.0,0.1212548092007637
57,6631,target,wrong_layer,2.0,-0.011834606528282166
57,6631,target,wrong_hook,2.0,0.0
57,743,control,target,2.0,-0.27094215154647827
57,1692,control,target,2.0,0.027185305953025818
57,3518,control,target,2.0,-0.08766881376504898
57,5052,control,target,2.0,0.0652710422873497
67,6631,target,target,0.0,-0.39622941613197327
67,6631,target,wrong_layer,0.0,-0.07555285841226578
67,6631,target,wrong_hook,0.0,0.0
67,743,control,target,0.0,0.3509361743927002
67,1692,control,target,0.0,-0.06868043541908264
67,3518,control,target,0.0,0.06952261179685593
67,5052,control,target,0.0,-0.1620662659406662
67,6631,target,target,0.5,-0.1893947869539261
67,6631,target,wrong_layer,0.5,-0.05087261274456978
67,6631,target,wrong_hook,0.5,0.0
67,743,control,target,0.5,0.1681416779756546
67,1692,control,target,0.5,-0.05010814964771271
67,3518,control,target,0.5,0.037109870463609695
67,5052,control,target,0.5,-0.07052858173847198
67,6631,target,target,1.0,0.0
67,6631,target,wrong_layer,1.0,0.0
67,6631,target,wrong_hook,1.0,0.0
67,743,control,target,1.0,0.0
67,1692,control,target,1.0,0.0
67,3518,control,target,1.0,0.0
67,5052,control,target,1.0,0.0
67,6631,target,target,1.5,0.028769060969352722
67,6631,target,wrong_layer,1.5,-0.003967513795942068
67,6631,target,wrong_hook,1.5,0.0
67,743,control,target,1.5,-0.14771409332752228
67,1692,control,target,1.5,0.007076139096170664
67,3518,control,target,1.5,-0.05574337765574455
67,5052,control,target,1.5,0.03150646761059761
67,6631,target,target,2.0,0.1212548092007637
67,6631,target,wrong_layer,2.0,-0.011834606528282166
67,6631,target,wrong_hook,2.0,0.0
67,743,control,target,2.0,-0.27094215154647827
67,1692,control,target,2.0,0.027185305953025818
67,3518,control,target,2.0,-0.08766881376504898
67,5052,control,target,2.0,0.0652710422873497
