category,pair_id,feature,is_target,alpha,delta_contrast
uncertainty,p147,4223,1,1.0,0.0
uncertainty,p148,4223,1,1.0,0.0
uncertainty,p149,4223,1,1.0,0.0
uncertainty,p150,4223,1,1.0,0.0
uncertainty,p151,4223,1,1.0,0.0
uncertainty,p152,4223,1,1.0,0.0
uncertainty,p153,4223,1,1.0,0.0
uncertainty,p154,4223,1,1.0,0.0
uncertainty,p155,4223,1,1.0,0.0
uncertainty,p156,4223,1,1.0,0.0
uncertainty,p157,4223,1,1.0,0.0
uncertainty,p158,4223,1,1.0,0.0
uncertainty,p159,4223,1,1.0,0.0
uncertainty,p160,4223,1,1.0,0.0
uncertainty,p161,4223,1,1.0,0.0
uncertainty,p162,4223,1,1.0,0.0
uncertainty,p163,4223,1,1.0,0.0
uncertainty,p164,4223,1,1.0,0.0
uncertainty,p165,4223,1,1.0,0.0
uncertainty,p166,4223,1,1.0,0.0
uncertainty,p167,4223,1,1.0,0.0
uncertainty,p168,4223,1,1.0,0.0
uncertainty,p169,4223,1,1.0,0.0
uncertainty,p170,4223,1,1.0,0.0
uncertainty,p171,4223,1,1.0,0.0
uncertainty,p172,4223,1,1.0,0.0
uncertainty,p173,4223,1,1.0,0.0
uncertainty,p174,4223,1,1.0,0.0
uncertainty,p175,4223,1,1.0,0.0
uncertainty,p176,4223,1,1.0,0.0
uncertainty,p177,4223,1,1.0,0.0
uncertainty,p178,4223,1,1.0,0.0
uncertainty,p179,4223,1,1.0,0.0
uncertainty,p180,4223,1,1.0,0.0
uncertainty,p181,4223,1,1.0,0.0
uncertainty,p182,4223,1,1.0,0.0
uncertainty,p183,4223,1,1.0,0.0
uncertainty,p184,4223,1,1.0,0.0
uncertainty,p185,4223,1,1.0,0.0
uncertainty,p186,4223,1,1.0,0.0
uncertainty,p187,4223,1,1.0,0.0
uncertainty,p188,4223,1,1.0,0.0
uncertainty,p189,4223,1,1.0,0.0
uncertainty,p190,4223,1,1.0,0.0
uncertainty,p191,4223,1,1.0,0.0
uncertainty,p192,4223,1,1.0,0.0
uncertainty,p193,4223,1,1.0,0.0
uncertainty,p194,4223,1,1.0,0.0
uncertainty,p195,4223,1,1.0,0.0
uncertainty,p196,4223,1,1.0,0.0
uncertainty,p197,4223,1,1.0,0.0
uncertainty,p198,4223,1,1.0,0.0
uncertainty,p199,4223,1,1.0,0.0
uncertainty,p200,4223,1,1.0,0.0
uncertainty,p1,4223,1,1.5,0.0
uncertainty,p2,4223,1,1.5,0.0
uncertainty,p3,4223,1,1.5,0.0625
uncertainty,p4,4223,1,1.5,0.0
uncertainty,p5,4223,1,1.5,0.0
uncertainty,p6,4223,1,1.5,0.0
uncertainty,p7,4223,1,1.5,0.0625
uncertainty,p8,4223,1,1.5,0.0
uncertainty,p9,4223,1,1.5,-0.0625
uncertainty,p10,4223,1,1.5,0.0625
uncertainty,p11,4223,1,1.5,0.0
uncertainty,p12,4223,1,1.5,-0.0625
uncertainty,p13,4223,1,1.5,0.0
uncertainty,p14,4223,1,1.5,0.0
uncertainty,p15,4223,1,1.5,0.0
uncertainty,p16,4223,1,1.5,0.0
uncertainty,p17,4223,1,1.5,-0.0625
uncertainty,p18,4223,1,1.5,0.0
uncertainty,p19,4223,1,1.5,0.0
uncertainty,p20,4223,1,1.5,-0.125
uncertainty,p21,4223,1,1.5,0.0
uncertainty,p22,4223,1,1.5,0.0
uncertainty,p23,4223,1,1.5,0.0
uncertainty,p24,4223,1,1.5,0.0
uncertainty,p25,4223,1,1.5,0.0
uncertainty,p26,4223,1,1.5,0.0
uncertainty,p27,4223,1,1.5,0.0
uncertainty,p28,4223,1,1.5,0.0
